FID,C_EDPP,NUMIND,DHMOS,COMMUNE,DD,DESCRIPT,WATERNAME,PRELEV,REGION,NOMOS,PROVINCE,codeau,longitude,latitude,the_geom
2c8a3e04-2024-4b22-96d5-5168a05d1245.10,61030801,GR1250030561030801,ΑΝΑΤ.ΟΛΥΜΠΟΥ,ANATOLIKOU OLYMPOU,ΣΚΟΤΙΝΑΣ,ΚΟΙΝΟΤΙΚΗ ΠΛΑΖ,ΣΚΟΤΙΝΑ,SKOTINA - KOINOTIKI PLAZ,KENTRIKI MAKEDONIA,ΠΙΕΡΙΑΣ,Pieria,1,22.58749962,40.03749847,POINT (379342.91894459195 4432588.380920641)
2c8a3e04-2024-4b22-96d5-5168a05d1245.11,43020101,GR1430020143020101,ΑΓΡΙΑΣ,AGRIAS,ΑΓΡΙΑΣ,ΕΝΑΝΤΙ ΚΕΝΤΡΟΥ 'ΨΑΡΟΤΑΒΕΡΝΑ ΤΟΥ ΘΩΜΑ',ΑΓΡΙΑ,AGRIA - PSAROTAVERNA TOU THOMA,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,23.02166748,39.34027863,POINT (415540.81342569436 4354707.915531234)
2c8a3e04-2024-4b22-96d5-5168a05d1245.12,81090401,GR4210090181090401,ΡΟΔΟΣ-ΚΑΛΛΙΘΕΑΣ,KALLITHEAS,ΡΟΔΟΣ-ΚΑΛΥΘΙΩΝ,ΙΑΜΑΤΙΚΗ ΠΗΓΗ,ΚΑΛΛΙΘΕΑ,KALLITHEA -IAMATIKI PIGI,NOTIO AIGAIO,ΔΩΔΕΚΑΝΗΣΟΥ,Dodekanisos,1,28.26666641,36.38888931,POINT (882605.1107464398 4035257.982451084)
2c8a3e04-2024-4b22-96d5-5168a05d1245.13,82080602,GR4220080182080602,ΙΟΣ-ΙΗΤΩΝ,IOU,ΙΟΣ-ΙΟΥ,ΔΕΞΙΟ ΑΚΡΟ ΑΚΤΗΣ,ΙΟΣ-ΜΥΛΟΠΟΤΑΣ,MYLOPOTAMOS,NOTIO AIGAIO,ΚΥΚΛΑΔΩΝ,Kyklades,1,25.29722214,36.71944427,POINT (615698.1420872812 4064245.702921391)
2c8a3e04-2024-4b22-96d5-5168a05d1245.14,81170801,GR4210170181170801,ΡΟΔΟΣ-ΛΙΝΔΙΩΝ,LINDION,ΡΟΔΟΣ-ΛΙΝΔΟΥ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΛΟΘΙΑΡΙΚΑ,LOTHIARIKA,NOTIO AIGAIO,ΔΩΔΕΚΑΝΗΣΟΥ,Dodekanisos,1,28.04722214,36.10833359,POINT (864211.9408923842 4003266.078439824)
2c8a3e04-2024-4b22-96d5-5168a05d1245.15,91260501,GR4310260191260501,ΚΡΗΤΗ-ΧΕΡΣΟΝΗΣΟΥ,CHERSONISOU,ΚΡΗΤΗ-ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'ΝΑΝΑ BEACH',ΔΡΑΠΑΝΟΣ,DRAPANOS - ENANTI HOTEL 'NANA BEACH',KRITI,ΗΡΑΚΛΕΙΟΥ,Irakleio,1,25.38888931,35.33611298,POINT (626072.9256736155 3910913.322745363)
2c8a3e04-2024-4b22-96d5-5168a05d1245.16,92011501,GR4320010392011501,ΚΡΗΤΗ-ΑΓ.ΝΙΚΟΛΑΟΥ,AGIOU NIKOLAOU,ΚΡΗΤΗ-ΕΛΟΥΝΤΑΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'BLUE BAY',"ΕΛΟΥΝΤΑ, BLUE BAY",ELOUNTA  -  HOTEL 'BLUE BAY',KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.72805595,35.27222061,POINT (657022.8470772081 3904311.8709993744)
2c8a3e04-2024-4b22-96d5-5168a05d1245.17,93040101,GR4330040893040101,ΚΡΗΤΗ-ΓΕΡΟΠΟΤΑΜΟΥ,GEROPOTAMOU,ΚΡΗΤΗ-ΜΕΛΙΔΟΝΙΟΥ,ΒΑΡΚΟΤΟΠΟΣ,ΜΠΑΛΙ,BALI - VARKOTOPOS,KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.78333282,35.42361069,POINT (570961.4804237226 3920014.252988337)
2c8a3e04-2024-4b22-96d5-5168a05d1245.18,84060101,GR4120060184060101,ΣΑΜΟΣ-ΠΥΘΑΓΟΡΕΙΟΥ,PYTHAGOREIOU,ΣΑΜΟΣ-ΠΥΘΑΓΟΡΕΙΟΥ,ΜΕΣΟΝ ΑΚΤΗΣ,ΓΛΥΚΟΡΙΖΑ,GLYKORIZA,VOREIO AIGAIO,ΣΑΜΟΥ,Samos,1,26.97222137,37.69722366,POINT (761903.9971862312 4176092.138122896)
2c8a3e04-2024-4b22-96d5-5168a05d1245.19,64100201,GR1270100364100201,ΠΑΝΑΓΙΑΣ,PANAGIAS,ΠΥΡΓΑΔΙΚΙΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΚΑΜΠΟΣ,KAMPOS,KENTRIKI MAKEDONIA,ΧΑΛΚΙΔΙΚΗΣ,Chalkidiki,1,23.68694496,40.32222366,POINT (473253.899773853 4463282.339733059)
2c8a3e04-2024-4b22-96d5-5168a05d1245.20,13110102,GR2320110113110102,ΛΑΡΙΣΣΟΥ,LARISSOU,ΜΕΤΟΧΙΟΥ,"KALOGRIA BEACH, ΑΡΙΣΤΕΡΟ ΑΚΡΟ",ΚΑΛΟΓΡΙΑ,KALOGRIA,DYTIKI ELLADA,ΑΧΑΙΑΣ,Achaia,1,21.35083389,38.15000153,POINT (267714.23787774483 4225486.430868092)
2c8a3e04-2024-4b22-96d5-5168a05d1245.21,06070601,GR2440070106070601,ΔΑΦΝΟΥΣΙΩΝ,DAFNOUSION,ΛΙΒΑΝΑΤΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΣΟΥΒΑΛΑ,SOUVALA,STEREA ELLADA,ΦΘΙΩΤΙΔΑΣ,Fthiotida,1,23.02916718,38.76610947,POINT (415506.8925011351 4290982.152623689)
2c8a3e04-2024-4b22-96d5-5168a05d1245.22,15090501,GR2530090815090501,ΞΥΛΟΚΑΣΤΡΟΥ,XYLOKASTROU,,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΚΑΜΑΡΙ,KAMARI,PELOPONNISOS,ΚΟΡΙΝΘΙΑΣ,Korinthia,1,22.56972313,38.0961113,POINT (374436.1408187098 4217156.823990121)
2c8a3e04-2024-4b22-96d5-5168a05d1245.23,43080401,GR1430080143080401,ΑΦΕΤΩΝ,AFETON,ΝΕΟΧΩΡΙΟΥ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΚΑΛΛΙΦΤΕΡΗ,KALLIFTERI,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,23.1566658,39.27999878,POINT (427112.4842611129 4347901.012878473)
2c8a3e04-2024-4b22-96d5-5168a05d1245.24,92010801,GR4320010792010801,ΚΡΗΤΗ-ΑΓ.ΝΙΚΟΛΑΟΥ,AGIOU NIKOLAOU,ΚΡΗΤΗ-ΚΑΛΟΥ ΧΩΡΙΟΥ,ΚΕΝΤΡΟ ΚΟΙΝΟΤΙΚΗΣ ΠΛΑΖ,ΒΟΥΛΙΣΜΑ,VOULISMA  - MESON KOINOTIKIS AKTIS,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.74444389,35.1277771,POINT (658794.7921544043 3888316.5858454187)
2c8a3e04-2024-4b22-96d5-5168a05d1245.25,42100201,GR1420100142100201,ΕΥΡΥΜΕΝΩΝ,EVRIMENON,ΣΤΟΜΙΟΥ,ΚΑΦΕ 'ΦΛΟΙΣΒΟΣ',ΣΤΟΜΙΟ,STOMIO - KAFE FLOISVOS,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.72222137,39.875,POINT (390578.73340840155 4414378.078530874)
2c8a3e04-2024-4b22-96d5-5168a05d1245.26,42110101,GR1420110242110101,ΚΑΤΩ ΟΛΥΜΠΟΥ,KATO OLYMPOU,ΑΙΓΑΝΗΣ,ΕΝΑ ΧΙΛΙΟΜ.ΑΡΙΣΤΕΡΑ ΞΕΝΟΔΟΧΕΙΟΥ ΠΟΛΥΖΟΥ,Ν.ΜΕΣΑΓΓΑΛΑ,NEA MESANGALA - 1KM ARISTERA HOTEL POLYZOU,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.70416641,39.96250153,POINT (389175.64494900167 4424112.328597888)
2c8a3e04-2024-4b22-96d5-5168a05d1245.27,42110102,GR1420110242110102,ΚΑΤΩ ΟΛΥΜΠΟΥ,KATO OLYMPOU,ΑΙΓΑΝΗΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ ΠΟΛΥΖΟΥ,Ν.ΜΕΣΑΓΓΑΛΑ,NEA MESANGALA - ENANTI HOTEL POLYZOU,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.70694351,39.95833206,POINT (389406.1259756181 4423646.369463744)
2c8a3e04-2024-4b22-96d5-5168a05d1245.28,32010301,GR2120010132010301,ΗΓΟΥΜΕΝΙΤΣΗΣ,IGOUMENITSIS,ΗΓΟΥΜΕΝΙΤΣΑΣ,ΕΝΑΝΤΙ ΔΕΗ,ΜΑΚΡΥΓΙΑΛΙ,MAKRYGIALI,IPEIROS,ΘΕΣΠΡΩΤΙΑΣ,THESPROTIA,1,20.20666695,39.51722336,POINT (173736.12669152347 4380763.233844255)
2c8a3e04-2024-4b22-96d5-5168a05d1245.29,64090801,GR1270090664090801,ΠΑΛΛΗΝΗΣ,PALLINIS,ΠΟΛΥΧΡΟΝΟ,"ΚΟΙΝΟΤΙΚΗ ΠΛΑΖ - ΣΚΑΛΑ,ΞΕΝΟΔΟΧΕΙΟ 'AKROGIALI'",ΠΟΛΥΧΡΟΝΟ,"POLYCHRONO - KOINOTIKI PLAZ,HOTEL AKROGIALI",KENTRIKI MAKEDONIA,ΧΑΛΚΙΔΙΚΗΣ,Chalkidiki,1,23.56055641,40.00694275,POINT (462343.1213284009 4428333.783204115)
2c8a3e04-2024-4b22-96d5-5168a05d1245.30,43010301,GR1430010143010301,ΒΟΛΟΥ,VOLOU,ΒΟΛΟΥ,ΠΑΓΑΣΩΝ,ΔΗΜ.ΑΚΤΗ ΒΟΛΟΥ,PAGASON - DIMOTIKI AKTI VOLOU,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,22.92666626,39.32666779,POINT (407335.8963840806 4353290.265897191)
2c8a3e04-2024-4b22-96d5-5168a05d1245.31,84060302,GR4120061184060302,ΣΑΜΟΣ-ΠΥΘΑΓΟΡΕΙΟΥ,PYTHAGOREIOU,ΣΑΜΟΣ-ΧΩΡΑΣ,ΜΕΤΑΞΥ ΚΕΡΑΙΑΣ ΑΕΡΟΔΡΟΜΕΙΟΥ ΚΑΙ ΠΡΩΤΟ ΠΟΡΟ,ΠΟΤΟΚΑΚΙ,POTOKAKI,VOREIO AIGAIO,ΣΑΜΟΥ,Samos,1,26.89999962,37.68333435,POINT (755582.6987047972 4174350.953676233)
2c8a3e04-2024-4b22-96d5-5168a05d1245.32,22050401,GR2220051022050401,ΚΕΡΚΥΡΑ-ΘΙΝΑΛΙΟΥ,THINALIOU,ΚΕΡΚΥΡΑ-ΣΦΑΚΕΡΩΝ,ΑΝΑΤΟΛΙΚΑ,ΡΟΔΑ,RODA - ANATOLIKA,IONIA NISIA,ΚΕΡΚΥΡΑΣ,KERKYRA,1,19.79999924,39.79722214,POINT (140220.45534090776 4413409.198579045)
2c8a3e04-2024-4b22-96d5-5168a05d1245.33,16030201,GR2540030116030201,ΑΣΩΠΟΥ,ASOPOU,ΠΑΠΑΔΙΑΝΙΚΩΝ,ΠΑΧΕΙΑ ΑΜΜΟΣ,ΠΛΥΤΡΑ,PLYTRA,PELOPONNISOS,ΛΑΚΩΝΙΑΣ,Lakonia,1,22.83333397,36.69722366,POINT (395632.36472324847 4061630.6015798645)
2c8a3e04-2024-4b22-96d5-5168a05d1245.34,42110103,GR1420110242110103,ΚΑΤΩ ΟΛΥΜΠΟΥ,KATO OLYMPOU,ΑΙΓΑΝΗΣ,ΕΝΑ ΧΙΛΙΟΜ.ΔΕΞΙΑ ΞΕΝΟΔΟΧΕΙΟΥ ΠΟΛΥΖΟΥ,Ν.ΜΕΣΑΓΓΑΛΑ,NEA MESANGALA - 1KM DEXIA HOTEL POLLYZOU,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.71111107,39.94722366,POINT (389744.2370520858 4422407.952650705)
2c8a3e04-2024-4b22-96d5-5168a05d1245.35,42180201,GR1420180242180201,ΜΕΛΙΒΟΙΑΣ,MELIVOIAS,ΜΕΛΙΒΟΙΑΣ,100 ΜΕΤΡΑ ΔΕΞΙΑ ΑΚΡΩΤΗΡΙΟΥ ΔΕΡΜΑΤΑΣ,ΒΕΛΙΚΑ,VELIKA - 100M DEXIA AKROTIRIOU DERMATAS,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.86666679,39.77222061,POINT (402787.02167244646 4402803.943178196)
2c8a3e04-2024-4b22-96d5-5168a05d1245.36,92020201,GR4320020292020201,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΑΓ.ΙΩΑΝΝΟΥ,"ΜΕΓΑΛΗ ΠΑΡΑΛΙΑ,ΞΕΝ.'MAGIC LIFE LYKTOS RESORT'","ΚΟΥΤΣΟΥΝΑΡΙ,ΑΓ.ΙΩΑΝΝΗΣ",KOUTSOUNARI  - ENANTI HOTEL 'LYKTOS BEACH',KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.83749962,35.00833511,POINT (667518.7057136198 3875220.627861179)
2c8a3e04-2024-4b22-96d5-5168a05d1245.37,92020301,GR4320021392020301,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΜΥΡΤΟΥ,ΚΕΝΤΡΟ ΚΟΙΝΟΤΙΚΗΣ ΠΛΑΖ,ΜΥΡΤΟΣ,MYRTOS -  ENANTI KINOTIKIS PLAZ,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.58666611,35.00388718,POINT (644636.3429442316 3874335.2410839186)
2c8a3e04-2024-4b22-96d5-5168a05d1245.38,92022901,GR4320020292022901,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΑΓ.ΙΩΑΝΝΟΥ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'ΚΑΚΚΟΣ ΒΑΥ',ΚΟΥΤΣΟΥΝΑΡΙ 2,KOUTSOUNARI 2 - HOTEL KAKKOS BAY,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.84083366,35.01250076,POINT (667814.3495233608 3875688.4194311355)
2c8a3e04-2024-4b22-96d5-5168a05d1245.39,92023101,GR4320020192023101,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'PETRA MARE',ΙΕΡΑΠΕΤΡΑ 3,IERAPETRA 3 - HOTEL PETRA MARE,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.75027847,35.00972366,POINT (659556.2943746962 3875231.6779519287)
2c8a3e04-2024-4b22-96d5-5168a05d1245.40,92030101,GR4320030192030101,ΚΡΗΤΗ-ΙΤΑΝΟΥ,ITANOU,ΚΡΗΤΗ-ΠΑΛΑΙΚΑΣΤΡΟΥ,"ΑΡΙΣΤΕΡΟ ΑΚΡΟ ΑΚΤΗΣ, ΚΟΝΤΑ ΣΤΟ ΠΟΤΑΜΑΚΙ",ΒΑΙ (ΦΟΙΝΙΚΟΔΑΣΟΣ),"VAI  - ARISTERO AKRO AKTIS,POTAMAKI",KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.26083374,35.25444412,POINT (705533.0767877459 3903314.306654394)
2c8a3e04-2024-4b22-96d5-5168a05d1245.41,92030102,GR4320030192030102,ΚΡΗΤΗ-ΙΤΑΝΟΥ,ITANOU,ΚΡΗΤΗ-ΠΑΛΑΙΚΑΣΤΡΟΥ,"ΔΕΞΙΟ ΑΚΡΟ ΑΚΤΗΣ, ΚΑΤΩ ΑΠΟ ΤΑΒΕΡΝΑ",ΒΑΙ (ΦΟΙΝΙΚΟΔΑΣΟΣ),"VAI  - DEXIO AKRO AKTIS,TAVERNA",KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.26666641,35.25444412,POINT (706063.9266245252 3903326.4185019797)
2c8a3e04-2024-4b22-96d5-5168a05d1245.42,92040201,GR4320040192040201,ΚΡΗΤΗ-ΛΕΥΚΗΣ,LEFKIS,ΚΡΗΤΗ-ΖΙΡΟΥ,ΜΠΡΟΣΤΑ ΣΤΗΝ ΤΑΒΕΡΝΑ ΑΚΡΟΓΙΑΛΙ,ΒΟΥΡΛΙΑ,VOURLIA - TAVERNA AKROGIALI,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.23166656,35.03527832,POINT (703424.5441516287 3878942.62866177)
2c8a3e04-2024-4b22-96d5-5168a05d1245.43,92050101,GR4320050692050101,ΚΡΗΤΗ-ΜΑΚΡΥ ΓΙΑΛΟΥ,MAKRY GIALOU,ΚΡΗΤΗ-ΠΕΥΚΩΝ,ΕΝΑΝΤΙ ΚΑΦΕΤΕΡΙΑΣ PROFIL(ΠΡΩΗΝ ΧΑΒΑΙ),ΑΝΑΛΗΨΗ,ANALIPSI  - KAFETERIA 'PROFIL',KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.98027802,35.03888702,POINT (680481.389608474 3878859.015195709)
2c8a3e04-2024-4b22-96d5-5168a05d1245.44,92050401,GR4320050692050401,ΚΡΗΤΗ-ΜΑΚΡΥ ΓΙΑΛΟΥ,MAKRY GIALOU,ΚΡΗΤΗ-ΠΕΥΚΩΝ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ SUNWING (ΣΟΠΑΤΑ),"ΜΑΚΡΥΓΙΑΛΟΣ,ΛΑΓΚΟΥΦΑ","MAKRYGIALOS  - LAGOUFA, HOTEL 'SUNWING'",KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.98472214,35.03610992,POINT (680892.9345150597 3878558.9358435553)
2c8a3e04-2024-4b22-96d5-5168a05d1245.45,92060301,GR4320060492060301,ΚΡΗΤΗ-ΝΕΑΠΟΛΗΣ,NEAPOLIS,ΚΡΗΤΗ-ΒΡΑΧΑΣΙΟΥ,ΕΝΑΝΤΙ ΞΕΝ. 'ΚΑΛΗΜΕΡΑ ΚΡΗΤΗ',ΜΠΟΥΦΟΥ,BOUFOU  -  HOTEL KALIMERA KRITI,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.50833321,35.30833435,POINT (636975.7250634428 3907991.087845538)
2c8a3e04-2024-4b22-96d5-5168a05d1245.46,92080201,GR4320080192080201,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,SITEIAS,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'ΓΑΛΛΙΚΟΝ',ΣΗΤΕΙΑ 1,SITEIA  - ENANTI HOTEL GALLIKON,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.11388969,35.20500183,POINT (692279.2905877266 3897534.9144338914)
2c8a3e04-2024-4b22-96d5-5168a05d1245.47,92080301,GR4320080192080301,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,SITEIAS,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,ΕΝΑΝΤΙ BAY VIEW HOTEL (ΔΙΑΚΛΑΔΩΣΗ ΠΡΟΣ ΠΕΤΡΑ),ΣΗΤΕΙΑ 2,SITEIA  - ENANTI BAY VIEW,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.11944389,35.20249939,POINT (692790.9602122866 3897268.3752895384)
2c8a3e04-2024-4b22-96d5-5168a05d1245.48,92080401,GR4320080192080401,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,SITEIAS,ΚΡΗΤΗ-ΣΗΤΕΙΑΣ,ΚΑΡΑΒΟΠΕΤΡΑ/ΕΝΑΝΤΙ ΤΟΥ ΞΕΝΟΔΟΧΕΙΟΥ 'PARADISE',ΣΗΤΕΙΑ 3,SITEIA  - ENANTI HOTEL 'PARADISE',KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,26.12277794,35.20166779,POINT (693096.4872625719 3897182.454672978)
2c8a3e04-2024-4b22-96d5-5168a05d1245.49,93010201,GR4330010193010201,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,RETHYMNIS,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'PORTO RETHYMNO',ΡΕΘΥΜΝΟ 1,RETHYMNO - ENANTI HOTEL 'PORTO RETHYMNO',KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.47500038,35.36833191,POINT (543000.1396572657 3913705.4913686225)
2c8a3e04-2024-4b22-96d5-5168a05d1245.50,93010501,GR4330010193010501,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,RETHYMNIS,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,"ΜΥΣΣΙΡΙΑ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'CRETA PALACE'",ΡΕΘΥΜΝΟ 4,MYSSIRIA  - ENANTI HOTEL 'CRETA PALACE',KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.51666641,35.3702774,POINT (546784.1381018297 3913940.1607534275)
